miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg19:9:96938296-96938318:+	6	1.963588	N	star,MIMAT0004481
hsa-let-7a-1	hg19:9:96938297-96938318:+	1	0.327265	N	star,MIMAT0004481
hsa-let-7a-2	hg19:11:122017231-122017253:-	14	4.581705	N	star,MIMAT0010195
hsa-let-7a-2	hg19:11:122017232-122017253:-	9	2.945382	N	star,MIMAT0010195
hsa-let-7a-2	hg19:11:122017233-122017253:-	3	0.981794	N	star,MIMAT0010195
hsa-let-7a-2	hg19:11:122017274-122017298:-	2	0.654529	N	mature,MIMAT0000062
hsa-let-7a-2	hg19:11:122017275-122017298:-	198	64.798400	N	mature,MIMAT0000062
hsa-let-7a-2	hg19:11:122017276-122017293:-	2	0.654529	N	mature,MIMAT0000062
hsa-let-7a-2	hg19:11:122017276-122017295:-	16	5.236234	N	mature,MIMAT0000062
hsa-let-7a-2	hg19:11:122017276-122017297:-	4	1.309059	N	mature,MIMAT0000062
hsa-let-7a-2	hg19:11:122017276-122017298:-	29106	9525.364810	N	mature,MIMAT0000062
hsa-let-7a-2	hg19:11:122017276-122017299:-	4	1.309059	N	mature,MIMAT0000062
hsa-let-7a-2	hg19:11:122017277-122017295:-	4	1.309059	N	mature,MIMAT0000062
hsa-let-7a-2	hg19:11:122017277-122017297:-	4	1.309059	N	mature,MIMAT0000062
hsa-let-7a-2	hg19:11:122017277-122017298:-	22824	7469.488299	N	mature,MIMAT0000062
hsa-let-7a-2	hg19:11:122017277-122017299:-	3	0.981794	N	mature,MIMAT0000062
hsa-let-7a-2	hg19:11:122017278-122017297:-	2	0.654529	N	mature,MIMAT0000062
hsa-let-7a-2	hg19:11:122017278-122017298:-	14026	4590.213936	N	mature,MIMAT0000062
hsa-let-7a-2	hg19:11:122017279-122017298:-	680	222.539960	N	mature,MIMAT0000062
hsa-let-7a-2	hg19:11:122017298-122017318:-	8	2.618117	N	precursor
hsa-let-7a-2	hg19:11:122017298-122017319:-	2	0.654529	N	precursor
hsa-let-7a-2	hg19:11:122017298-122017320:-	3	0.981794	N	precursor
hsa-let-7a-3	hg19:22:46508631-46508650:+	2	0.654529	N	mature,MIMAT0000062
hsa-let-7a-3	hg19:22:46508631-46508651:+	3	0.981794	N	mature,MIMAT0000062
hsa-let-7a-3	hg19:22:46508631-46508652:+	55	17.999556	N	mature,MIMAT0000062
hsa-let-7a-3	hg19:22:46508631-46508653:+	91	29.781083	N	mature,MIMAT0000062
hsa-let-7a-3	hg19:22:46508631-46508654:+	44	14.399644	N	mature,MIMAT0000062
hsa-let-7a-3	hg19:22:46508632-46508651:+	369	120.760655	N	mature,MIMAT0000062
hsa-let-7a-3	hg19:22:46508632-46508652:+	6858	2244.380948	N	mature,MIMAT0000062
hsa-let-7a-3	hg19:22:46508632-46508653:+	11399	3730.489709	N	mature,MIMAT0000062
hsa-let-7a-3	hg19:22:46508632-46508654:+	14645	4792.790753	N	mature,MIMAT0000062
hsa-let-7a-3	hg19:22:46508632-46508655:+	93	30.435612	N	mature,MIMAT0000062
hsa-let-7a-3	hg19:22:46508633-46508652:+	2	0.654529	N	mature,MIMAT0000062
hsa-let-7a-3	hg19:22:46508633-46508653:+	1	0.327265	N	mature,MIMAT0000062
hsa-let-7a-3	hg19:22:46508633-46508654:+	2	0.654529	N	mature,MIMAT0000062
hsa-let-7a-3	hg19:22:46508635-46508653:+	2	0.654529	N	mature,MIMAT0000062
hsa-let-7a-3	hg19:22:46508635-46508654:+	4	1.309059	N	mature,MIMAT0000062
hsa-let-7a-3	hg19:22:46508636-46508653:+	1	0.327265	N	mature,MIMAT0000062
hsa-let-7a-3	hg19:22:46508680-46508698:+	1	0.327265	N	star,MIMAT0004481
hsa-let-7a-3	hg19:22:46508680-46508699:+	1	0.327265	N	star,MIMAT0004481
hsa-let-7a-3	hg19:22:46508680-46508700:+	10	3.272646	N	star,MIMAT0004481
hsa-let-7a-3	hg19:22:46508680-46508701:+	12	3.927176	N	star,MIMAT0004481
hsa-let-7a-3	hg19:22:46508680-46508702:+	12	3.927176	N	star,MIMAT0004481
hsa-let-7a-3	hg19:22:46508681-46508702:+	3	0.981794	N	star,MIMAT0004481
hsa-let-7a-3	hg19:22:46508681-46508703:+	4	1.309059	N	star,MIMAT0004481
hsa-let-7a-3	hg19:22:46508682-46508703:+	1	0.327265	N	star,MIMAT0004481
hsa-let-7b	hg19:22:46509570-46509587:+	1	0.327265	N	mature,MIMAT0000063
hsa-let-7b	hg19:22:46509571-46509588:+	30	9.817939	N	mature,MIMAT0000063
hsa-let-7b	hg19:22:46509571-46509589:+	25	8.181616	N	mature,MIMAT0000063
hsa-let-7b	hg19:22:46509571-46509590:+	964	315.483120	N	mature,MIMAT0000063
hsa-let-7b	hg19:22:46509571-46509591:+	13678	4476.325839	N	mature,MIMAT0000063
hsa-let-7b	hg19:22:46509571-46509592:+	11402	3731.471503	N	mature,MIMAT0000063
hsa-let-7b	hg19:22:46509571-46509593:+	9518	3114.904908	N	mature,MIMAT0000063
hsa-let-7b	hg19:22:46509571-46509594:+	475	155.450707	N	mature,MIMAT0000063
hsa-let-7b	hg19:22:46509571-46509595:+	1	0.327265	N	mature,MIMAT0000063
hsa-let-7b	hg19:22:46509572-46509591:+	5	1.636323	N	mature,MIMAT0000063
hsa-let-7b	hg19:22:46509572-46509592:+	2	0.654529	N	mature,MIMAT0000063
hsa-let-7b	hg19:22:46509572-46509593:+	1	0.327265	N	mature,MIMAT0000063
hsa-let-7b	hg19:22:46509574-46509593:+	3	0.981794	N	mature,MIMAT0000063
hsa-let-7b	hg19:22:46509574-46509594:+	1	0.327265	N	mature,MIMAT0000063
hsa-let-7b	hg19:22:46509575-46509593:+	1	0.327265	N	mature,MIMAT0000063
hsa-let-7b	hg19:22:46509577-46509594:+	1	0.327265	N	mature,MIMAT0000063
hsa-let-7b	hg19:22:46509625-46509644:+	2	0.654529	N	star,MIMAT0004482
hsa-let-7b	hg19:22:46509625-46509645:+	11	3.599911	N	star,MIMAT0004482
hsa-let-7b	hg19:22:46509625-46509646:+	24	7.854352	N	star,MIMAT0004482
hsa-let-7c	hg19:21:17912156-17912179:+	1	0.327265	N	mature,MIMAT0000064
hsa-let-7c	hg19:21:17912157-17912177:+	1	0.327265	N	mature,MIMAT0000064
hsa-let-7c	hg19:21:17912157-17912178:+	1	0.327265	N	mature,MIMAT0000064
hsa-let-7c	hg19:21:17912157-17912179:+	10	3.272646	N	mature,MIMAT0000064
hsa-let-7c	hg19:21:17912157-17912180:+	3	0.981794	N	mature,MIMAT0000064
hsa-let-7c	hg19:21:17912158-17912177:+	58	18.981350	N	mature,MIMAT0000064
hsa-let-7c	hg19:21:17912158-17912178:+	308	100.797511	N	mature,MIMAT0000064
hsa-let-7c	hg19:21:17912158-17912179:+	380	124.360566	N	mature,MIMAT0000064
hsa-let-7c	hg19:21:17912158-17912180:+	1218	398.608340	N	mature,MIMAT0000064
hsa-let-7c	hg19:21:17912158-17912181:+	16	5.236234	N	mature,MIMAT0000064
hsa-let-7c	hg19:21:17912158-17912182:+	1	0.327265	N	mature,MIMAT0000064
hsa-let-7c	hg19:21:17912159-17912180:+	1	0.327265	N	mature,MIMAT0000064
hsa-let-7c	hg19:21:17912201-17912223:+	1	0.327265	N	precursor
hsa-let-7c	hg19:21:17912203-17912224:+	3	0.981794	N	precursor
hsa-let-7c	hg19:21:17912203-17912225:+	9	2.945382	N	precursor
hsa-let-7d	hg19:9:96941122-96941144:+	2	0.654529	N	mature,MIMAT0000065
hsa-let-7d	hg19:9:96941123-96941142:+	1	0.327265	N	mature,MIMAT0000065
hsa-let-7d	hg19:9:96941123-96941143:+	376	123.051507	N	mature,MIMAT0000065
hsa-let-7d	hg19:9:96941123-96941144:+	271	88.688719	N	mature,MIMAT0000065
hsa-let-7d	hg19:9:96941123-96941145:+	187	61.198489	N	mature,MIMAT0000065
hsa-let-7d	hg19:9:96941123-96941146:+	3	0.981794	N	mature,MIMAT0000065
hsa-let-7d	hg19:9:96941124-96941144:+	1	0.327265	N	mature,MIMAT0000065
hsa-let-7d	hg19:9:96941126-96941145:+	2	0.654529	N	mature,MIMAT0000065
hsa-let-7d	hg19:9:96941176-96941199:+	1	0.327265	N	star,MIMAT0004484
hsa-let-7d	hg19:9:96941177-96941195:+	1	0.327265	N	star,MIMAT0004484
hsa-let-7d	hg19:9:96941177-96941196:+	8	2.618117	N	star,MIMAT0004484
hsa-let-7d	hg19:9:96941177-96941197:+	167	54.653196	N	star,MIMAT0004484
hsa-let-7d	hg19:9:96941177-96941198:+	124	40.580816	N	star,MIMAT0004484
hsa-let-7d	hg19:9:96941177-96941199:+	241	78.870780	N	star,MIMAT0004484
hsa-let-7d	hg19:9:96941178-96941193:+	1	0.327265	N	star,MIMAT0004484
hsa-let-7d	hg19:9:96941178-96941196:+	1	0.327265	N	star,MIMAT0004484
hsa-let-7d	hg19:9:96941178-96941197:+	14	4.581705	N	star,MIMAT0004484
hsa-let-7d	hg19:9:96941178-96941198:+	10	3.272646	N	star,MIMAT0004484
hsa-let-7d	hg19:9:96941178-96941199:+	47	15.381438	N	star,MIMAT0004484
hsa-let-7e	hg19:19:52196024-52196046:+	1	0.327265	N	precursor
hsa-let-7e	hg19:19:52196025-52196046:+	1	0.327265	N	precursor
hsa-let-7e	hg19:19:52196026-52196046:+	1	0.327265	N	precursor
hsa-let-7e	hg19:19:52196027-52196046:+	3	0.981794	N	precursor
hsa-let-7e	hg19:19:52196029-52196046:+	1	0.327265	N	precursor
hsa-let-7e	hg19:19:52196045-52196067:+	1	0.327265	N	mature,MIMAT0000066
hsa-let-7e	hg19:19:52196046-52196064:+	13	4.254440	N	mature,MIMAT0000066
hsa-let-7e	hg19:19:52196046-52196065:+	28	9.163410	N	mature,MIMAT0000066
hsa-let-7e	hg19:19:52196046-52196066:+	461	150.869002	N	mature,MIMAT0000066
hsa-let-7e	hg19:19:52196046-52196067:+	1819	595.294393	N	mature,MIMAT0000066
hsa-let-7e	hg19:19:52196046-52196068:+	4943	1617.669149	N	mature,MIMAT0000066
hsa-let-7e	hg19:19:52196046-52196069:+	141	46.144315	N	mature,MIMAT0000066
hsa-let-7e	hg19:19:52196046-52196070:+	7	2.290853	N	mature,MIMAT0000066
hsa-let-7e	hg19:19:52196047-52196067:+	1	0.327265	N	mature,MIMAT0000066
hsa-let-7e	hg19:19:52196047-52196068:+	1	0.327265	N	mature,MIMAT0000066
hsa-let-7e	hg19:19:52196047-52196070:+	1	0.327265	N	mature,MIMAT0000066
hsa-let-7e	hg19:19:52196088-52196111:+	1	0.327265	N	star,MIMAT0004485
hsa-let-7e	hg19:19:52196091-52196112:+	6	1.963588	N	star,MIMAT0004485
hsa-let-7e	hg19:19:52196091-52196113:+	20	6.545293	N	star,MIMAT0004485
hsa-let-7e	hg19:19:52196113-52196134:+	2	0.654529	N	precursor
hsa-let-7f-1	hg19:9:96938635-96938658:+	23	7.527087	N	mature,MIMAT0000067
hsa-let-7f-1	hg19:9:96938635-96938659:+	1	0.327265	N	mature,MIMAT0000067
hsa-let-7f-1	hg19:9:96938635-96938662:+	1	0.327265	N	mature,MIMAT0000067
hsa-let-7f-1	hg19:9:96938640-96938661:+	6	1.963588	N	mature,MIMAT0000067
hsa-let-7f-1	hg19:9:96938640-96938662:+	1	0.327265	N	mature,MIMAT0000067
hsa-let-7f-1	hg19:9:96938641-96938663:+	1	0.327265	N	mature,MIMAT0000067
hsa-let-7f-1	hg19:9:96938691-96938711:+	1	0.327265	N	star,MIMAT0004486
hsa-let-7f-1	hg19:9:96938691-96938712:+	1	0.327265	N	star,MIMAT0004486
hsa-let-7f-1	hg19:9:96938712-96938735:+	1	0.327265	N	precursor
hsa-let-7f-2	hg19:X:53584159-53584179:-	1	0.327265	N	star,MIMAT0004487
hsa-let-7f-2	hg19:X:53584206-53584229:-	82	26.835701	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584207-53584225:-	1	0.327265	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584207-53584226:-	5	1.636323	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584207-53584227:-	2	0.654529	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584207-53584228:-	4	1.309059	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584207-53584229:-	16821	5504.918624	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584207-53584230:-	3	0.981794	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584208-53584226:-	3	0.981794	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584208-53584227:-	1	0.327265	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584208-53584228:-	2	0.654529	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584208-53584229:-	13639	4463.562518	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584208-53584230:-	4	1.309059	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584209-53584226:-	1	0.327265	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584209-53584229:-	6909	2261.071445	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584209-53584230:-	4	1.309059	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584210-53584229:-	373	122.069713	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584211-53584229:-	157	51.380550	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584212-53584229:-	28	9.163410	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584213-53584229:-	17	5.563499	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584214-53584229:-	4	1.309059	N	mature,MIMAT0000067
hsa-let-7f-2	hg19:X:53584229-53584247:-	1	0.327265	N	precursor
hsa-let-7f-2	hg19:X:53584229-53584248:-	3	0.981794	N	precursor
hsa-let-7f-2	hg19:X:53584229-53584249:-	1	0.327265	N	precursor
hsa-let-7g	hg19:3:52302295-52302317:-	2	0.654529	N	star,MIMAT0004584
hsa-let-7g	hg19:3:52302296-52302317:-	41	13.417851	N	star,MIMAT0004584
hsa-let-7g	hg19:3:52302297-52302317:-	8	2.618117	N	star,MIMAT0004584
hsa-let-7g	hg19:3:52302351-52302374:-	10	3.272646	N	mature,MIMAT0000414
hsa-let-7g	hg19:3:52302352-52302371:-	2	0.654529	N	mature,MIMAT0000414
hsa-let-7g	hg19:3:52302352-52302374:-	1018	333.155410	N	mature,MIMAT0000414
hsa-let-7g	hg19:3:52302352-52302375:-	12	3.927176	N	mature,MIMAT0000414
hsa-let-7g	hg19:3:52302353-52302371:-	1	0.327265	N	mature,MIMAT0000414
hsa-let-7g	hg19:3:52302353-52302374:-	824	269.666069	N	mature,MIMAT0000414
hsa-let-7g	hg19:3:52302353-52302375:-	3	0.981794	N	mature,MIMAT0000414
hsa-let-7g	hg19:3:52302354-52302374:-	153	50.071491	N	mature,MIMAT0000414
hsa-let-7g	hg19:3:52302354-52302375:-	4	1.309059	N	mature,MIMAT0000414
hsa-let-7g	hg19:3:52302355-52302374:-	100	32.726465	N	mature,MIMAT0000414
hsa-let-7g	hg19:3:52302356-52302374:-	10	3.272646	N	mature,MIMAT0000414
hsa-let-7g	hg19:3:52302357-52302374:-	2	0.654529	N	mature,MIMAT0000414
hsa-let-7i	hg19:12:62997448-62997471:+	1	0.327265	N	precursor
hsa-let-7i	hg19:12:62997471-62997489:+	3	0.981794	N	mature,MIMAT0000415
hsa-let-7i	hg19:12:62997471-62997490:+	17	5.563499	N	mature,MIMAT0000415
hsa-let-7i	hg19:12:62997471-62997491:+	89	29.126554	N	mature,MIMAT0000415
hsa-let-7i	hg19:12:62997471-62997492:+	804	263.120776	N	mature,MIMAT0000415
hsa-let-7i	hg19:12:62997471-62997493:+	238	77.888986	N	mature,MIMAT0000415
hsa-let-7i	hg19:12:62997471-62997494:+	169	55.307725	N	mature,MIMAT0000415
hsa-let-7i	hg19:12:62997471-62997496:+	1	0.327265	N	mature,MIMAT0000415
hsa-let-7i	hg19:12:62997474-62997492:+	10	3.272646	N	mature,MIMAT0000415
hsa-let-7i	hg19:12:62997474-62997493:+	8	2.618117	N	mature,MIMAT0000415
hsa-let-7i	hg19:12:62997474-62997494:+	5	1.636323	N	mature,MIMAT0000415
hsa-let-7i	hg19:12:62997475-62997492:+	1	0.327265	N	mature,MIMAT0000415
hsa-let-7i	hg19:12:62997475-62997493:+	1	0.327265	N	mature,MIMAT0000415
hsa-let-7i	hg19:12:62997476-62997492:+	1	0.327265	N	mature,MIMAT0000415
hsa-let-7i	hg19:12:62997476-62997493:+	1	0.327265	N	mature,MIMAT0000415
hsa-let-7i	hg19:12:62997527-62997546:+	2	0.654529	N	star,MIMAT0004585
hsa-let-7i	hg19:12:62997527-62997547:+	185	60.543960	N	star,MIMAT0004585
hsa-let-7i	hg19:12:62997527-62997548:+	62	20.290408	N	star,MIMAT0004585
hsa-let-7i	hg19:12:62997527-62997549:+	46	15.054174	N	star,MIMAT0004585
hsa-mir-1-2	hg19:18:19408975-19408998:-	1	0.327265	N	mature,MIMAT0000416
hsa-mir-1-2	hg19:18:19408976-19408998:-	3	0.981794	N	mature,MIMAT0000416
hsa-mir-1-2	hg19:18:19408977-19408998:-	2	0.654529	N	mature,MIMAT0000416
hsa-mir-1-2	hg19:18:19408978-19408998:-	3	0.981794	N	mature,MIMAT0000416
hsa-mir-100	hg19:11:122022948-122022970:-	1	0.327265	N	star,MIMAT0004512
hsa-mir-100	hg19:11:122022949-122022970:-	1	0.327265	N	star,MIMAT0004512
hsa-mir-100	hg19:11:122022981-122023005:-	5	1.636323	N	mature,MIMAT0000098
hsa-mir-100	hg19:11:122022982-122023004:-	1	0.327265	N	mature,MIMAT0000098
hsa-mir-100	hg19:11:122022982-122023005:-	18	5.890764	N	mature,MIMAT0000098
hsa-mir-100	hg19:11:122022983-122023002:-	1	0.327265	N	mature,MIMAT0000098
hsa-mir-100	hg19:11:122022983-122023003:-	9	2.945382	N	mature,MIMAT0000098
hsa-mir-100	hg19:11:122022983-122023004:-	27	8.836145	N	mature,MIMAT0000098
hsa-mir-100	hg19:11:122022983-122023005:-	4425	1448.146062	N	mature,MIMAT0000098
hsa-mir-100	hg19:11:122022983-122023006:-	2	0.654529	N	mature,MIMAT0000098
hsa-mir-100	hg19:11:122022984-122023003:-	4	1.309059	N	mature,MIMAT0000098
hsa-mir-100	hg19:11:122022984-122023004:-	45	14.726909	N	mature,MIMAT0000098
hsa-mir-100	hg19:11:122022984-122023005:-	11716	3834.232602	N	mature,MIMAT0000098
hsa-mir-100	hg19:11:122022985-122023004:-	1	0.327265	N	mature,MIMAT0000098
hsa-mir-100	hg19:11:122022985-122023005:-	279	91.306836	N	mature,MIMAT0000098
hsa-mir-100	hg19:11:122022986-122023003:-	1	0.327265	N	mature,MIMAT0000098
hsa-mir-100	hg19:11:122022986-122023004:-	1	0.327265	N	mature,MIMAT0000098
hsa-mir-100	hg19:11:122022986-122023005:-	204	66.761988	N	mature,MIMAT0000098
hsa-mir-100	hg19:11:122022987-122023005:-	41	13.417851	N	mature,MIMAT0000098
hsa-mir-100	hg19:11:122022988-122023005:-	12	3.927176	N	mature,MIMAT0000098
hsa-mir-101-1	hg19:1:65524123-65524146:-	3	0.981794	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524124-65524142:-	1	0.327265	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524124-65524144:-	5	1.636323	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524124-65524145:-	3	0.981794	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524124-65524146:-	6823	2232.926685	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524124-65524147:-	3	0.981794	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524125-65524142:-	1	0.327265	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524125-65524143:-	3	0.981794	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524125-65524144:-	2	0.654529	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524125-65524145:-	5	1.636323	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524125-65524146:-	7023	2298.379615	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524125-65524147:-	748	244.793956	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524126-65524143:-	6	1.963588	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524126-65524144:-	6	1.963588	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524126-65524145:-	14	4.581705	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524126-65524146:-	34255	11210.450477	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524126-65524147:-	11340	3711.181095	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524127-65524145:-	1	0.327265	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524127-65524146:-	590	193.086142	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524127-65524147:-	510	166.904970	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524128-65524146:-	7	2.290853	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524128-65524147:-	29	9.490675	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524129-65524147:-	1	0.327265	N	mature,MIMAT0000099
hsa-mir-101-1	hg19:1:65524162-65524183:-	14	4.581705	N	star,MIMAT0004513
hsa-mir-101-1	hg19:1:65524164-65524183:-	1	0.327265	N	star,MIMAT0004513
hsa-mir-101-2	hg19:9:4850309-4850332:+	1	0.327265	N	unannotated
hsa-mir-101-2	hg19:9:4850309-4850335:+	1	0.327265	N	unannotated
hsa-mir-101-2	hg19:9:4850345-4850368:+	154	50.398756	N	mature,MIMAT0000099
hsa-mir-101-2	hg19:9:4850347-4850368:+	12	3.927176	N	mature,MIMAT0000099
hsa-mir-101-2	hg19:9:4850347-4850369:+	5	1.636323	N	mature,MIMAT0000099
hsa-mir-101-2	hg19:9:4850350-4850367:+	1	0.327265	N	mature,MIMAT0000099
hsa-mir-103-1	hg19:5:167987907-167987932:-	2	0.654529	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987908-167987928:-	4	1.309059	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987908-167987930:-	45	14.726909	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987908-167987932:-	219	71.670958	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987909-167987925:-	1	0.327265	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987909-167987926:-	2	0.654529	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987909-167987927:-	25	8.181616	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987909-167987928:-	184	60.216695	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987909-167987929:-	34	11.126998	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987909-167987930:-	3746	1225.933367	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987909-167987931:-	57	18.654085	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987909-167987932:-	91070	29803.991385	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987909-167987933:-	10	3.272646	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987910-167987927:-	3	0.981794	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987910-167987928:-	15	4.908970	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987910-167987929:-	4	1.309059	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987910-167987930:-	292	95.561277	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987910-167987931:-	25	8.181616	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987910-167987932:-	26314	8611.641916	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987910-167987933:-	2	0.654529	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987911-167987928:-	1	0.327265	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987911-167987931:-	1	0.327265	Y	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987911-167987932:-	477	156.105237	Y	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987911-167987933:-	2	0.654529	Y	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987912-167987932:-	195	63.816606	Y	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987913-167987932:-	136	44.507992	Y	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987914-167987932:-	2	0.654529	Y	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987915-167987932:-	14	4.581705	N	mature,MIMAT0000101
hsa-mir-103-1	hg19:5:167987946-167987969:-	32	10.472469	N	unannotated
hsa-mir-103-1	hg19:5:167987969-167987987:-	1	0.327265	N	unannotated
hsa-mir-103-1	hg19:5:167987969-167987988:-	2	0.654529	N	unannotated
hsa-mir-103-2	hg19:20:3898132-3898151:+	4	1.309059	N	precursor
hsa-mir-103-2	hg19:20:3898133-3898151:+	20	6.545293	N	precursor
hsa-mir-103-2	hg19:20:3898151-3898174:+	6	1.963588	N	star,MIMAT0009196
hsa-mir-103-2	hg19:20:3898151-3898175:+	1	0.327265	N	star,MIMAT0009196
hsa-mir-103-2	hg19:20:3898182-3898202:+	2	0.654529	N	mature,MIMAT0000101
hsa-mir-103-2	hg19:20:3898188-3898213:+	4	1.309059	N	mature,MIMAT0000101
